month,sza_bin,sfi_bin,spot_count,snr_median,date
2023-06,70,Med (160-200),1794,-18.0,2023-06-19
2023-06,75,Med (160-200),1593,-19.0,2023-06-19
2023-06,80,Med (160-200),1445,-18.0,2023-06-19
2023-06,85,Med (160-200),722,-17.0,2023-06-19
2023-06,5,Med (160-200),8,-22.0,2023-06-20
2023-06,10,Med (160-200),950,-21.0,2023-06-20
2023-06,15,Med (160-200),1746,-21.0,2023-06-20
2023-06,20,Med (160-200),2890,-20.0,2023-06-20
2023-06,25,Med (160-200),4527,-19.0,2023-06-20
2023-06,30,Med (160-200),3615,-19.0,2023-06-20
2023-06,35,Med (160-200),3700,-19.0,2023-06-20
2023-06,40,Med (160-200),2804,-19.0,2023-06-20
2023-06,45,Med (160-200),2152,-20.0,2023-06-20
2023-06,50,Med (160-200),1417,-20.0,2023-06-20
2023-06,55,Med (160-200),1071,-20.0,2023-06-20
2023-06,60,Med (160-200),696,-20.0,2023-06-20
2023-06,65,Med (160-200),608,-20.0,2023-06-20
2023-06,70,Med (160-200),847,-20.0,2023-06-20
2023-06,75,Med (160-200),1126,-20.0,2023-06-20
2023-06,80,Med (160-200),1597,-19.0,2023-06-20
2023-06,85,Med (160-200),971,-20.0,2023-06-20
2023-06,5,Med (160-200),4,-23.0,2023-06-21
2023-06,10,Med (160-200),806,-22.0,2023-06-21
2023-06,15,Med (160-200),3024,-21.0,2023-06-21
2023-06,20,Med (160-200),4728,-19.0,2023-06-21
2023-06,25,Med (160-200),3453,-20.0,2023-06-21
2023-06,30,Med (160-200),5952,-20.0,2023-06-21
2023-06,35,Med (160-200),6238,-19.0,2023-06-21
2023-06,40,Med (160-200),5413,-19.0,2023-06-21
